text,label
עדכון :דור לדור תנ"ך מאורעות בזמן התנ"ך קרדיט,0
ויאמר יהוה אל משה לאמר,1
ויהי כאשר פתר לנו כן היה אותי השיב על כני ואותו תלה,1
בראשית ברא אלהים את השמים ואת הארץ,1
שמע ישראל יהוה אלהינו יהוה אחד,1
ואהבת את יהוה אלהיך בכל לבבך ובכל נפשך ובכל מאודך,1
אלה תולדות נח נח איש צדיק תמים היה בדורותיו את האלהים יתהלך נח,1
וירא אלהים את הארץ והנה נשחתה כי השחית כל בשר את דרכו על הארץ,1
ויאמר אלהים לנח קץ כל בשר בא לפני כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ,1
עשה לך תיבת עצי גופר קינים תעשה את התבה וכפרת לך מבית ומחוץ בכופר,1
אלה תולדות יצחק בן אברהם אברהם הוליד את יצחק,1
ויהי יצחק בן ארבעים שנה בקחתו את רבקה בת בתואל הארמי מפדן ארם אחות לבן הארמי לו לאישה,1
ויאהב יצחק את עשיו כי ציד בפיו ורבקה אוהבת את יעקב,1
ויצא יעקב מבאר שבע וילך חרנה,1
בראשית ברא אלהים את השמים ואת הארץ,1
והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים,1
ויאמר אלהים יהי אור ויהי אור,1
וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך,1
ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד,1
ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים,1
ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן,1
ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני,1
ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן,1
ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב,1
ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן,1
ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב,1
ויהי ערב ויהי בקר יום שלישי,1
ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים,1
והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן,1
